Country,count,longitude,latitude
United States,4691,-95.712891,37.09024
China,2358,104.195397,35.86166
Australia,1850,133.775136,-25.274398
United Kingdom,1766,-3.435973,55.378051
Germany,1332,10.451526,51.165691
Canada,1146,-106.346771,56.130366
India,1038,78.96288,20.593684
Italy,995,12.56738,41.87194
Netherlands,890,5.291266,52.132633
Spain,757,-3.74922,40.463667
France,559,2.213749,46.227638
South Africa,534,22.937506,-30.559482
Sweden,504,18.643501,60.128161
Brazil,337,-51.92528,-14.235004
Japan,308,138.252924,36.204824
Norway,307,8.468946,60.472024
Ethiopia,305,40.489673,9.145
Switzerland,297,8.227512,46.818188
Portugal,276,-8.224454,39.399872
South Korea,229,127.766922,35.907757
Iran,222,53.688046,32.427908
Ghana,216,-1.023194,7.946527
Austria,216,14.550072,47.516231
Bangladesh,207,90.356331,23.684994
Poland,198,19.145136,51.919438
Belgium,192,4.469936,50.503887
Indonesia,191,113.921327,-0.789275
Denmark,190,9.501785,56.26392
New Zealand,189,174.885971,-40.900557
Mexico,183,-102.552784,23.634501
Nigeria,178,8.675277,9.081999
Thailand,178,100.992541,15.870032
Greece,172,21.824312,39.074208
Finland,169,25.748151,61.92411
Kenya,152,37.906193,-0.023559
Pakistan,142,69.345116,30.375321
Vietnam,142,108.277199,14.058324
Malaysia,126,101.975766,4.210484
Turkey,122,35.243322,38.963745
Ireland,122,-8.24389,53.41291
Chile,120,-71.542969,-35.675147
Czech Republic,112,15.472962,49.817492
Russia,110,105.318756,61.52401
Philippines,103,121.774017,12.879721
Colombia,99,-74.297333,4.570868
Hungary,86,19.503304,47.162494
Romania,84,24.96676,45.943161
Nepal,79,84.124008,28.394857
Singapore,78,103.819836,1.352083
Argentina,74,-63.616672,-38.416097
Tanzania,72,34.888822,-6.369028
Egypt,64,30.802498,26.820553
Saudi Arabia,57,45.079162,23.885942
Zimbabwe,55,29.154857,-19.015438
Uganda,51,32.290275,1.373333
Serbia,47,21.005859,44.016521
Cameroon,47,12.354722,7.369722
Ecuador,47,-78.183406,-1.831239
Israel,45,34.851612,31.046051
Benin,44,2.315834,9.30769
Morocco,42,-7.09262,31.791702
Sri Lanka,42,80.771797,7.873054
Peru,38,-75.015152,-9.189967
Ukraine,33,31.16558,48.379433
Tunisia,31,9.537499,33.886917
Slovenia,29,14.995463,46.151241
United Arab Emirates,28,53.847818,23.424076
Burkina Faso,28,-1.561593,12.238333
Croatia,27,15.2,45.1
Botswana,27,24.684866,-22.328474
Algeria,22,1.659626,28.033886
Fiji,22,179.414413,-16.578193
Senegal,21,-14.452362,14.497401
Costa Rica,21,-83.753428,9.748917
Malawi,20,34.301525,-13.254308
Lithuania,19,23.881275,55.169438
Cuba,19,-77.781167,21.521757
Uruguay,19,-55.765835,-32.522779
Latvia,18,24.603189,56.879635
Cyprus,18,33.429859,35.126413
Lebanon,17,35.862285,33.854721
Bulgaria,18,25.48583,42.733883
Trinidad and Tobago,17,-61.222503,10.691803
Togo,16,0.824782,8.619543
Mali,15,-3.996166,17.570692
Zambia,15,27.849332,-13.133897
Qatar,15,51.183884,25.354826
Iceland,14,-19.020835,64.963051
Estonia,13,25.013607,58.595272
Jordan,11,36.238414,30.585164
Luxembourg,11,6.129583,49.815273
Slovakia,11,19.699024,48.669026
C?te d'Ivoire,10,-5.54708,7.539989
Barbados,10,-59.543198,13.193887
Oman,9,55.923255,21.512583
Rwanda,9,29.873888,-1.940278
Cambodia,9,104.990963,12.565679
Mauritius,9,57.552152,-20.348404
Iraq,9,43.679291,33.223191
Jamaica,9,-77.297508,18.109581
Namibia,8,18.49041,-22.95764
Niger,8,8.081666,17.607789
Kazakhstan,8,66.923684,48.019573
Monaco,7,7.412841,43.750298
Mozambique,6,35.529562,-18.665695
Myanmar,6,95.956223,21.913965
Congo,6,15.827659,-0.228021
Kuwait,6,47.481766,29.31166
Venezuela,5,-66.58973,6.42375
Moldova,5,28.369885,47.411631
Bosnia and Herzegovina,5,17.679076,43.915886
Malta,5,14.375416,35.937496
Somalia,5,46.199616,5.152149
Bhutan,5,90.433601,27.514162
Kyrgyzstan,4,74.766098,41.20438
Uzbekistan,4,64.585262,41.377491
Seychelles,4,55.491977,-4.679574
Mongolia,4,103.846656,46.862496
Bolivia,4,-63.588653,-16.290154
Sierra Leone,3,-11.779889,8.460555
Laos,3,102.495496,19.85627
Armenia,3,45.038189,40.069099
Albania,3,20.168331,41.153332
Palestine,3,34.65558741,31.84459798
Gambia,4,-15.310139,13.443182
New Caledonia,3,165.618042,-20.904305
Panama,3,-80.782127,8.537981
Azerbaijan,3,47.576927,40.143105
Brunei,3,114.727669,4.535277
Bahamas,2,-77.39628,25.03428
Lesotho,2,28.233608,-29.609988
Cape Verde,2,-24.013197,16.002082
Guatemala,2,-90.230759,15.783471
Kosovo,2,20.902977,42.602636
Montenegro,2,19.37439,42.708678
Solomon Islands,2,160.156194,-9.64571
Nicaragua,2,-85.207229,12.865416
French Guiana,2,-53.125782,3.933889
Dominican Republic,2,-70.162651,18.735693
Netherlands Antilles,2,-69.060087,12.226079
Syria,2,38.996815,34.802075
Liberia,2,-9.429499,6.428055
Burundi,1,29.918886,-3.373056
El Salvador,1,-88.89653,13.794185
Haiti,1,-72.285215,18.971187
Papua New Guinea,1,143.95555,-6.314993
Vanuatu,1,166.959158,-15.376706
Maldives,1,73.22068,3.202778
Swaziland,1,31.465866,-26.522503
Guinea-Bissau,1,-15.180413,11.803749
Afghanistan,1,67.709953,33.93911
Madagascar,1,46.869107,-18.766947
Cent Afr Republ,1,20.939444,6.611111
Eritrea,1,39.782334,15.179384
Timor-Leste,1,125.727539,-8.874217
Honduras,1,-86.241905,15.199999
