research country,count,longitude,latitude,Percentage of research literature,Percentage of increment,Multiples of incremental to literature 
India,4966,78.96288,20.593684,5.084207832,23.39221052,4.600954818
China,16432,104.195397,35.86166,16.82313796,12.30210432,0.731260978
Nigeria,640,8.675277,9.081999,0.655234195,4.600350602,7.020925704
Brazil,2840,-51.92528,-14.235004,2.90760174,4.548019925,1.564182557
United States,12109,-95.712891,37.09024,12.39723573,4.104437396,0.331076821
Pakistan,1261,69.345116,30.375321,1.291016125,3.324770027,2.575312548
Mexico,1385,-102.552784,23.634501,1.41796775,3.15191922,2.22284267
Ethiopia,1062,40.489673,9.145,1.087279242,2.234775946,2.055383621
Indonesia,1378,113.921327,-0.789275,1.410801126,2.076276022,1.471700003
Iran,505,53.688046,32.427908,0.517020732,1.940246953,3.752744973
Bangladesh,1282,90.356331,23.684994,1.312515997,1.821968134,1.388149278
Japan,1380,138.252924,36.204824,1.412848733,1.772444727,1.254518396
Turkey,575,35.243322,38.963745,0.588686972,1.684324695,2.861155037
Vietnam,524,108.277199,14.058324,0.536472997,1.373839721,2.560873946
Egypt,498,30.802498,26.820553,0.509854108,1.184691619,2.323589436
Colombia,573,-74.297333,4.570868,0.586639365,1.009913352,1.721523328
South Africa,1587,22.937506,-30.559482,1.624776043,0.933950208,0.574817811
Philippines,515,121.774017,12.879721,0.527258766,0.919629092,1.744170323
Saudi Arabia,359,45.079162,23.885942,0.367545431,0.90948414,2.474480876
Ghana,748,-1.023194,7.946527,0.765804965,0.886331148,1.157384959
Thailand,673,100.992541,15.870032,0.689019708,0.875834109,1.271130708
South Korea,596,127.766922,35.907757,0.610186844,0.746668721,1.223672271
Yemen,40,48.516388,15.552727,0.040952137,0.741903014,18.11634431
Canada,3066,-106.346771,56.130366,3.138981316,0.594989416,0.189548569
United Kingdom,2761,-3.435973,55.378051,2.82672127,0.575382314,0.203551132
Spain,2206,-3.74922,40.463667,2.258510366,0.537194063,0.237853264
Italy,2360,12.56738,41.87194,2.416176094,0.451794318,0.186987331
Germany,2486,10.451526,51.165691,2.545175326,0.444303701,0.174567031
France,1750,2.213749,46.227638,1.791656002,0.403497463,0.225209227
Australia,3848,133.775136,-25.274398,3.939595598,0.241666418,0.061342951
Netherlands,946,5.291266,52.132633,0.968518045,0.1414513,0.146049215
Sweden,1000,18.643501,60.128161,1.02380343,0.082630446,0.080709288
